====================================================================
LTCore v11.6.4 - Debug Log - Session : 2/24/2006 9:07:27 AM
====================================================================
[02/24/2006 09:07:27.906]  [Engine] [Profile] Loaded Config from C:\Documents and Settings\jcox\My Documents\AC-source\LifeTankX-source\Data\Profiles\Xeon Xarid (LC)\LifeTank.ini
[02/24/2006 09:08:16.093]  [Engine] UIMain.Unload() -- Begin
[02/24/2006 09:08:16.109]  [Engine] UIMain.Unload() -- End
[02/24/2006 09:08:16.109]  [Engine] UIMacro.Unload() -- Begin
[02/24/2006 09:08:16.109]  [Engine] UIMacro.Unload() -- End
[02/24/2006 09:08:16.109]  [Engine] UIBuffs.Unload() -- Begin
[02/24/2006 09:08:16.109]  [Engine] UIBuffs.Unload() -- End
[02/24/2006 09:08:16.109]  [Engine] UIMonsters.Unload() -- Begin
[02/24/2006 09:08:16.109]  [Engine] UIMonsters.Unload() -- End
[02/24/2006 09:08:16.109]  [Engine] UIIrc.Unload() -- Begin
[02/24/2006 09:08:16.109]  [Engine] UIIrc.Unload() -- End
[02/24/2006 09:08:16.109]  [Engine] UIMsgLog.Unload() -- Begin
[02/24/2006 09:08:16.109]  [Engine] UIMsgLog.Unload() -- End
[02/24/2006 09:08:16.109]  [Engine] UIOptions.Unload() -- Begin
[02/24/2006 09:08:16.109]  [Engine] UIOptions.Unload() -- End
[02/24/2006 09:08:16.109]  [Engine] UIAntiBan.Unload() -- Begin
[02/24/2006 09:08:16.109]  [Engine] UIAntiBan.Unload() -- End
[02/24/2006 09:08:16.109]  [Engine] UILoot.Unload() -- Begin
[02/24/2006 09:08:16.109]  [Engine] UILoot.Unload() -- End
[02/24/2006 09:08:16.109]  [Engine] PluginInterface.Unload() -- End
[02/24/2006 09:08:16.109]  [Engine] DeleteEngineObjects - End
